[2026-05-11T14:36:34.622+0100][33.575s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 8.5ms
[2026-05-11T14:36:34.622+0100][33.575s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 1.0ms
[2026-05-11T14:36:34.622+0100][33.575s][info][gc,phases   ] GC(7)   Other: 0.1ms
[2026-05-11T14:36:34.622+0100][33.575s][info][gc,heap     ] GC(7) Eden regions: 72->0(70)
[2026-05-11T14:36:34.622+0100][33.575s][info][gc,heap     ] GC(7) Survivor regions: 2->4(10)
[2026-05-11T14:36:34.622+0100][33.575s][info][gc,heap     ] GC(7) Old regions: 13->13
[2026-05-11T14:36:34.622+0100][33.575s][info][gc,heap     ] GC(7) Humongous regions: 3->3
[2026-05-11T14:36:34.622+0100][33.575s][info][gc,metaspace] GC(7) Metaspace: 11482K(11712K)->11482K(11712K) NonClass: 10370K(10496K)->10370K(10496K) Class: 1112K(1216K)->1112K(1216K)
[2026-05-11T14:36:34.622+0100][33.575s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 349M->71M(500M) 10.950ms
[2026-05-11T14:36:34.622+0100][33.575s][info][gc,cpu      ] GC(7) User=0.09s Sys=0.00s Real=0.02s
[2026-05-11T14:36:42.815+0100][41.767s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:36:42.815+0100][41.768s][info][gc,task     ] GC(8) Using 12 workers of 13 for evacuation
[2026-05-11T14:36:42.826+0100][41.778s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.1ms
[2026-05-11T14:36:42.826+0100][41.779s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.2ms
[2026-05-11T14:36:42.826+0100][41.779s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 9.9ms
[2026-05-11T14:36:42.826+0100][41.779s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.5ms
[2026-05-11T14:36:42.826+0100][41.779s][info][gc,phases   ] GC(8)   Other: 0.1ms
[2026-05-11T14:36:42.826+0100][41.779s][info][gc,heap     ] GC(8) Eden regions: 70->0(67)
[2026-05-11T14:36:42.826+0100][41.779s][info][gc,heap     ] GC(8) Survivor regions: 4->7(10)
[2026-05-11T14:36:42.826+0100][41.779s][info][gc,heap     ] GC(8) Old regions: 13->13
[2026-05-11T14:36:42.826+0100][41.779s][info][gc,heap     ] GC(8) Humongous regions: 3->3
[2026-05-11T14:36:42.826+0100][41.779s][info][gc,metaspace] GC(8) Metaspace: 11482K(11712K)->11482K(11712K) NonClass: 10370K(10496K)->10370K(10496K) Class: 1112K(1216K)->1112K(1216K)
[2026-05-11T14:36:42.826+0100][41.779s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 351M->83M(500M) 11.160ms
[2026-05-11T14:36:42.826+0100][41.779s][info][gc,cpu      ] GC(8) User=0.12s Sys=0.00s Real=0.01s
[2026-05-11T14:36:49.797+0100][48.750s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:36:49.797+0100][48.750s][info][gc,task     ] GC(9) Using 12 workers of 13 for evacuation
[2026-05-11T14:36:49.811+0100][48.764s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.2ms
[2026-05-11T14:36:49.811+0100][48.764s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.4ms
[2026-05-11T14:36:49.811+0100][48.764s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 12.9ms
[2026-05-11T14:36:49.811+0100][48.764s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.5ms
[2026-05-11T14:36:49.811+0100][48.764s][info][gc,phases   ] GC(9)   Other: 0.1ms
[2026-05-11T14:36:49.811+0100][48.764s][info][gc,heap     ] GC(9) Eden regions: 67->0(68)
[2026-05-11T14:36:49.811+0100][48.764s][info][gc,heap     ] GC(9) Survivor regions: 7->6(10)
[2026-05-11T14:36:49.811+0100][48.764s][info][gc,heap     ] GC(9) Old regions: 13->16
[2026-05-11T14:36:49.811+0100][48.764s][info][gc,heap     ] GC(9) Humongous regions: 3->3
[2026-05-11T14:36:49.811+0100][48.764s][info][gc,metaspace] GC(9) Metaspace: 11482K(11712K)->11482K(11712K) NonClass: 10370K(10496K)->10370K(10496K) Class: 1112K(1216K)->1112K(1216K)
[2026-05-11T14:36:49.811+0100][48.764s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 351M->94M(500M) 14.550ms
[2026-05-11T14:36:49.811+0100][48.764s][info][gc,cpu      ] GC(9) User=0.14s Sys=0.02s Real=0.01s
[2026-05-11T14:36:56.377+0100][55.329s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:36:56.377+0100][55.329s][info][gc,task     ] GC(10) Using 12 workers of 13 for evacuation
[2026-05-11T14:36:56.392+0100][55.345s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.4ms
[2026-05-11T14:36:56.392+0100][55.345s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.4ms
[2026-05-11T14:36:56.392+0100][55.345s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 13.9ms
[2026-05-11T14:36:56.392+0100][55.345s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.7ms
[2026-05-11T14:36:56.392+0100][55.345s][info][gc,phases   ] GC(10)   Other: 0.1ms
[2026-05-11T14:36:56.392+0100][55.345s][info][gc,heap     ] GC(10) Eden regions: 68->0(68)
[2026-05-11T14:36:56.392+0100][55.345s][info][gc,heap     ] GC(10) Survivor regions: 6->6(10)
[2026-05-11T14:36:56.392+0100][55.345s][info][gc,heap     ] GC(10) Old regions: 16->19
[2026-05-11T14:36:56.392+0100][55.345s][info][gc,heap     ] GC(10) Humongous regions: 3->3
[2026-05-11T14:36:56.392+0100][55.345s][info][gc,metaspace] GC(10) Metaspace: 11482K(11712K)->11482K(11712K) NonClass: 10370K(10496K)->10370K(10496K) Class: 1112K(1216K)->1112K(1216K)
[2026-05-11T14:36:56.392+0100][55.345s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 366M->106M(500M) 15.832ms
[2026-05-11T14:36:56.392+0100][55.345s][info][gc,cpu      ] GC(10) User=0.15s Sys=0.02s Real=0.02s
[2026-05-11T14:37:01.965+0100][60.918s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:37:01.965+0100][60.918s][info][gc,task     ] GC(11) Using 12 workers of 13 for evacuation
[2026-05-11T14:37:01.982+0100][60.934s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.4ms
[2026-05-11T14:37:01.982+0100][60.935s][info][gc,phases   ] GC(11)   Merge Heap Roots: 1.0ms
[2026-05-11T14:37:01.982+0100][60.935s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 14.4ms
[2026-05-11T14:37:01.982+0100][60.935s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.8ms
[2026-05-11T14:37:01.982+0100][60.935s][info][gc,phases   ] GC(11)   Other: 0.1ms
[2026-05-11T14:37:01.982+0100][60.935s][info][gc,heap     ] GC(11) Eden regions: 68->0(68)
[2026-05-11T14:37:01.982+0100][60.935s][info][gc,heap     ] GC(11) Survivor regions: 6->6(10)
[2026-05-11T14:37:01.982+0100][60.935s][info][gc,heap     ] GC(11) Old regions: 19->22
[2026-05-11T14:37:01.982+0100][60.935s][info][gc,heap     ] GC(11) Humongous regions: 6->6
[2026-05-11T14:37:01.982+0100][60.935s][info][gc,metaspace] GC(11) Metaspace: 11482K(11712K)->11482K(11712K) NonClass: 10370K(10496K)->10370K(10496K) Class: 1112K(1216K)->1112K(1216K)
[2026-05-11T14:37:01.982+0100][60.935s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 390M->130M(500M) 16.911ms
[2026-05-11T14:37:01.982+0100][60.935s][info][gc,cpu      ] GC(11) User=0.17s Sys=0.01s Real=0.02s
[2026-05-11T14:37:09.936+0100][68.889s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[2026-05-11T14:37:09.936+0100][68.889s][info][gc,task     ] GC(12) Using 12 workers of 13 for evacuation
[2026-05-11T14:37:09.951+0100][68.904s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.5ms
[2026-05-11T14:37:09.952+0100][68.904s][info][gc,phases   ] GC(12)   Merge Heap Roots: 0.4ms
[2026-05-11T14:37:09.952+0100][68.904s][info][gc,phases   ] GC(12)   Evacuate Collection Set: 13.5ms
[2026-05-11T14:37:09.952+0100][68.904s][info][gc,phases   ] GC(12)   Post Evacuate Collection Set: 0.6ms
[2026-05-11T14:37:09.952+0100][68.904s][info][gc,phases   ] GC(12)   Other: 0.1ms
[2026-05-11T14:37:09.952+0100][68.904s][info][gc,heap     ] GC(12) Eden regions: 68->0(68)
[2026-05-11T14:37:09.952+0100][68.904s][info][gc,heap     ] GC(12) Survivor regions: 6->6(10)
[2026-05-11T14:37:09.952+0100][68.904s][info][gc,heap     ] GC(12) Old regions: 22->25
[2026-05-11T14:37:09.952+0100][68.904s][info][gc,heap     ] GC(12) Humongous regions: 6->6
[2026-05-11T14:37:09.952+0100][68.904s][info][gc,metaspace] GC(12) Metaspace: 11482K(11712K)->11482K(11712K) NonClass: 10370K(10496K)->10370K(10496K) Class: 1112K(1216K)->1112K(1216K)
[2026-05-11T14:37:09.952+0100][68.904s][info][gc          ] GC(12) Pause Young (Normal) (G1 Evacuation Pause) 402M->142M(500M) 15.415ms
[2026-05-11T14:37:09.952+0100][68.904s][info][gc,cpu      ] GC(12) User=0.13s Sys=0.01s Real=0.02s
[2026-05-11T14:44:31.441+0100][510.394s][info][gc,start    ] GC(13) Pause Young (Normal) (G1 Evacuation Pause)
